Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
0.8612646,-0.0255561,0.0679761,0.5029408,-1.035,0.495,-288.199,0.7239655,0.0184664,-0.01464,-0.6894335,8.929,5.231,-161.762
0.8614859,-0.0259507,0.0677526,0.5025716,-0.945,0.472,-288.196,0.7240181,0.0182314,-0.0149577,-0.6893777,8.94,5.272,-161.763
0.8615302,-0.0262295,0.068246,0.5024143,-1.019,0.397,-288.235,0.7241552,0.0179784,-0.0151756,-0.6892356,8.936,5.315,-161.754
0.8609931,-0.0262587,0.0689043,0.503243,-1.154,0.34,-288.226,0.724065,0.01772,-0.0155097,-0.6893297,8.942,5.361,-161.754
0.8610722,-0.026095,0.0686745,0.5031476,-1.154,0.412,-288.141,0.7238732,0.0175504,-0.0156935,-0.6895312,8.943,5.422,-161.732
0.8620089,-0.0260114,0.0684803,0.501572,-1.147,0.484,-288.102,0.7239254,0.0173354,-0.015871,-0.6894778,8.941,5.48,-161.742
0.8622843,-0.0263583,0.06816,0.501124,-1.027,0.465,-288.107,0.7236019,0.0171497,-0.0161119,-0.6898163,8.952,5.541,-161.731
0.8611509,-0.0265657,0.0683608,0.5030311,-0.983,0.389,-288.134,0.7237233,0.0168486,-0.0163295,-0.6896913,8.948,5.596,-161.734
0.8605545,-0.0269323,0.0685481,0.5040056,-0.944,0.298,-288.139,0.7234138,0.0165367,-0.0166574,-0.6900156,8.95,5.64,-161.734
0.8619426,-0.0270424,0.0684358,0.5016375,-0.981,0.35,-288.144,0.7232485,0.0163617,-0.0169211,-0.6901866,8.962,5.713,-161.734
0.8622006,-0.0270636,0.0683207,0.5012085,-0.971,0.382,-288.073,0.723207,0.0160407,-0.0172575,-0.6902293,8.966,5.769,-161.745
0.862704,-0.0269656,0.0682457,0.500357,-0.996,0.426,-288.066,0.7230075,0.01578,-0.0175095,-0.6904379,8.963,5.835,-161.747
0.8625213,-0.026736,0.0682723,0.5006807,-1.02,0.472,-288.068,0.7231436,0.015514,-0.0178336,-0.6902931,8.972,5.904,-161.757
0.8613762,-0.0266074,0.0683469,0.5026447,-1.003,0.468,-288.06,0.7228154,0.0153018,-0.018064,-0.6906356,8.979,5.984,-161.759
0.8622883,-0.0269602,0.0685006,0.5010386,-1.007,0.44,-288.141,0.7227559,0.0149271,-0.0183893,-0.6906975,8.976,6.049,-161.778
0.8612597,-0.027118,0.0688712,0.5027455,-1.022,0.393,-288.162,0.7230615,0.0144851,-0.0187866,-0.6903762,8.971,6.106,-161.79
0.8611516,-0.0271908,0.068951,0.5029158,-1.049,0.398,-288.189,0.7231461,0.0141722,-0.0191215,-0.6902849,8.978,6.177,-161.794
0.8610445,-0.0269153,0.0686793,0.5031512,-1.029,0.496,-288.106,0.722979,0.013861,-0.0194806,-0.6904562,8.984,6.243,-161.796
0.8617083,-0.0264665,0.0683654,0.5020801,-1.025,0.654,-288.046,0.7235062,0.0135612,-0.0197216,-0.6899028,8.978,6.326,-161.8
0.861191,-0.0262758,0.0686087,0.5029438,-1.07,0.684,-288.004,0.7228892,0.0131851,-0.0200636,-0.6905468,8.974,6.38,-161.812
0.8608116,-0.0262335,0.0691835,0.5035164,-1.168,0.656,-288.158,0.7231207,0.0128124,-0.0203052,-0.6903043,8.962,6.439,-161.825
0.8613616,-0.026758,0.0696852,0.5024781,-1.246,0.559,-288.282,0.7230683,0.012436,-0.0206469,-0.6903559,8.953,6.49,-161.846
0.8608074,-0.0271376,0.0697354,0.5033996,-1.202,0.486,-288.336,0.7234742,0.0120395,-0.0209966,-0.689927,8.95,6.538,-161.837
0.8611703,-0.0274562,0.0690803,0.5028517,-1.035,0.534,-288.165,0.7231659,0.0118254,-0.0212266,-0.6902468,8.955,6.604,-161.834
0.8605715,-0.0273871,0.0690094,0.5038892,-0.98,0.555,-288.078,0.723156,0.0114667,-0.0215281,-0.6902539,8.95,6.654,-161.834
0.8604853,-0.0271723,0.0687003,0.5040902,-0.942,0.636,-288.049,0.7234153,0.0110651,-0.0218132,-0.6899798,8.937,6.697,-161.838
0.8609849,-0.0273229,0.0687845,0.5032169,-0.944,0.636,-288.049,0.72325,0.0107795,-0.022141,-0.6901471,8.941,6.745,-161.837
0.8621026,-0.0276697,0.0691475,0.5012305,-1.016,0.602,-288.084,0.723128,0.0103962,-0.0224253,-0.6902716,8.931,6.786,-161.848
0.861163,-0.0281147,0.0693977,0.502784,-1.012,0.498,-288.113,0.7231473,0.0100768,-0.022734,-0.690246,8.928,6.835,-161.855
0.8629793,-0.0287797,0.0690306,0.4996731,-0.95,0.48,-288.133,0.7231621,0.0098088,-0.0230727,-0.6902232,8.934,6.885,-161.856
0.86345,-0.0290229,0.068803,0.4988767,-0.886,0.488,-288.154,0.7233258,0.0094926,-0.0233653,-0.6900462,8.935,6.95,-161.861
0.8620193,-0.0287406,0.0683141,0.5014279,-0.743,0.556,-288.033,0.7232276,0.0092876,-0.0235612,-0.6901453,8.942,7.029,-161.857
0.8636525,-0.0287238,0.0679902,0.4986548,-0.726,0.647,-287.889,0.7233375,0.0089139,-0.0238144,-0.6900263,8.93,7.096,-161.862
0.862332,-0.0285249,0.068291,0.5009054,-0.779,0.657,-287.924,0.7229138,0.008646,-0.0241052,-0.6904635,8.935,7.162,-161.869
0.8625317,-0.0288847,0.0685646,0.5005033,-0.81,0.601,-288.059,0.7231289,0.0083398,-0.0243924,-0.6902319,8.937,7.235,-161.883
0.8635548,-0.0293145,0.0684623,0.4987251,-0.809,0.605,-288.179,0.7227475,0.0080889,-0.0247961,-0.6906199,8.946,7.301,-161.895
0.86404,-0.0293137,0.0683827,0.4978949,-0.796,0.648,-288.233,0.7228818,0.0077949,-0.025033,-0.6904741,8.938,7.381,-161.901
0.8631195,-0.0288195,0.0684368,0.4995103,-0.804,0.707,-288.177,0.7228616,0.0075502,-0.0252598,-0.6904897,8.944,7.462,-161.892
0.8626958,-0.0284875,0.0685232,0.5002489,-0.826,0.76,-288.132,0.7227918,0.0072376,-0.0255059,-0.6905571,8.936,7.542,-161.896
0.8630532,-0.0284606,0.0687722,0.4995994,-0.866,0.783,-288.072,0.7228433,0.0068136,-0.025759,-0.6904981,8.921,7.608,-161.898
0.8638081,-0.0288379,0.0686808,0.498284,-0.828,0.78,-288.046,0.7228051,0.0064185,-0.0261299,-0.6905279,8.922,7.672,-161.889
0.864117,-0.0293943,0.068738,0.4977076,-0.828,0.713,-288.073,0.7228904,0.0060287,-0.0264977,-0.6904281,8.916,7.733,-161.899
0.8643687,-0.0296468,0.0689428,0.4972271,-0.86,0.702,-288.132,0.7230871,0.0055848,-0.0269148,-0.6902097,8.907,7.793,-161.901
0.8642308,-0.0297806,0.0690853,0.4974388,-0.886,0.689,-288.09,0.7229959,0.0051631,-0.0272602,-0.690295,8.893,7.858,-161.896
0.8639665,-0.0293736,0.0693877,0.49788,-0.957,0.767,-288.035,0.7231929,0.0047806,-0.0275459,-0.6900799,8.888,7.939,-161.883
0.862679,-0.0289087,0.0696179,0.5001025,-0.994,0.801,-288.072,0.7234853,0.0042881,-0.0277658,-0.6897679,8.861,8.007,-161.883
0.8631679,-0.0292518,0.0693175,0.49928,-0.912,0.787,-288.022,0.7236204,0.0039787,-0.0281388,-0.6896129,8.87,8.09,-161.874
0.8634587,-0.0294421,0.0690175,0.4988074,-0.853,0.843,-288.01,0.7231354,0.0036515,-0.0284687,-0.6901097,8.873,8.174,-161.863
0.863492,-0.0298177,0.0689537,0.4987363,-0.836,0.832,-288.044,0.7229849,0.0033343,-0.0288622,-0.6902526,8.876,8.252,-161.862
0.8639503,-0.0303515,0.0693185,0.4978591,-0.891,0.746,-288.206,0.7230983,0.0030202,-0.0292821,-0.6901176,8.871,8.334,-161.862
0.864066,-0.0305651,0.0693805,0.4976364,-0.88,0.714,-288.187,0.7229948,0.0027738,-0.0295893,-0.690214,8.88,8.423,-161.85
0.8643236,-0.0304617,0.0695315,0.4971742,-0.914,0.745,-288.17,0.7228358,0.0025398,-0.0298859,-0.6903685,8.892,8.519,-161.834
0.864897,-0.0307107,0.0691294,0.4962168,-0.799,0.759,-288.111,0.722832,0.00225,-0.0302315,-0.6903585,8.892,8.605,-161.827
0.8654271,-0.0313956,0.0689862,0.4952688,-0.717,0.678,-288.186,0.7224619,0.0020633,-0.0305532,-0.6907322,8.909,8.699,-161.824
0.8638732,-0.0313504,0.0690204,0.4979724,-0.667,0.665,-288.232,0.7225947,0.0017603,-0.0308606,-0.6905805,8.914,8.783,-161.818
0.8629993,-0.0314397,0.0692634,0.499446,-0.694,0.617,-288.227,0.7224678,0.0014833,-0.0312897,-0.6906946,8.923,8.859,-161.826
0.8638239,-0.0316196,0.0693312,0.4979976,-0.75,0.636,-288.235,0.7223996,0.0011408,-0.0316324,-0.690751,8.918,8.939,-161.831
0.8635522,-0.0316837,0.0692403,0.4984772,-0.701,0.623,-288.206,0.7221464,0.0009029,-0.0318235,-0.6910073,8.915,9.034,-161.835
0.8645113,-0.0319065,0.0691238,0.496814,-0.658,0.641,-288.094,0.7221586,0.000537,-0.0321799,-0.6909784,8.921,9.118,-161.835
0.8642851,-0.032271,0.0692833,0.4971617,-0.613,0.571,-288.052,0.7221454,0.0001612,-0.0323686,-0.6909836,8.91,9.201,-161.85
0.8640928,-0.0324517,0.069662,0.4974311,-0.66,0.543,-288.125,0.7221996,-0.0002763,-0.0327276,-0.69091,8.905,9.283,-161.86
0.8633214,-0.0318714,0.0696904,0.4988022,-0.72,0.645,-288.12,0.7219116,-0.0006353,-0.0329627,-0.6911995,8.895,9.364,-161.865
0.8632644,-0.0317532,0.0694246,0.4989454,-0.703,0.704,-288.077,0.7220728,-0.001048,-0.033339,-0.6910125,8.888,9.442,-161.869
